Date,Open,High,Low,Close,Adj Close,Volume
25/03/2015,5.5975,5.5975,5.2425,5.26,5.074275,54255200
26/03/2015,5.1525,5.265,5.115,5.2425,5.057394,31192000
27/03/2015,5.2725,5.365,5.1875,5.345,5.156272,31828800
30/03/2015,5.37,5.395,5.3,5.3675,5.177979,25325200
31/03/2015,5.3525,5.3575,5.2275,5.2325,5.047746,35727600
01/04/2015,5.2525,5.27,5.1625,5.2525,5.06704,33076800
02/04/2015,5.2825,5.2975,5.22,5.265,5.079099,19220400
06/04/2015,5.2425,5.435,5.1875,5.4175,5.226214,51586400
07/04/2015,5.4175,5.525,5.3875,5.465,5.272036,41396400
08/04/2015,5.47,5.525,5.4175,5.505,5.310626,36643200
09/04/2015,5.4625,5.65,5.46,5.6325,5.433623,37943200
10/04/2015,5.6375,5.6925,5.6175,5.69,5.489093,25872800
13/04/2015,5.6775,5.71,5.6125,5.6375,5.438447,23672400
14/04/2015,5.615,5.6375,5.535,5.59,5.392622,22027600
15/04/2015,5.605,5.7,5.5775,5.6575,5.45774,24356000
16/04/2015,5.625,5.6725,5.5825,5.6225,5.423975,15528400
17/04/2015,5.505,5.605,5.5025,5.55,5.354036,29363600
20/04/2015,5.575,5.61,5.5125,5.5225,5.327507,23162400
21/04/2015,5.59,5.59,5.4875,5.515,5.320271,23045600
22/04/2015,5.5475,5.585,5.4625,5.5775,5.380565,20742000
23/04/2015,5.475,5.6075,5.4125,5.555,5.358859,25938000
24/04/2015,5.5525,5.555,5.445,5.5075,5.313037,24096000
27/04/2015,5.525,5.6475,5.4775,5.55,5.354036,24845600
28/04/2015,5.54,5.5975,5.4875,5.5775,5.380565,23448400
29/04/2015,5.5375,5.5925,5.5125,5.535,5.339566,19515600
30/04/2015,5.5075,5.5775,5.495,5.55,5.354036,21884400
01/05/2015,5.595,5.705,5.57,5.6875,5.486681,25696800
04/05/2015,5.6825,5.72,5.635,5.6525,5.452918,20072000
05/05/2015,5.6325,5.64,5.4825,5.5075,5.313037,29292800
06/05/2015,5.5375,5.59,5.4525,5.525,5.329917,31648400
07/05/2015,5.5025,5.64,5.485,5.6225,5.423975,53456400
08/05/2015,5.2525,5.46,5.1225,5.2075,5.023629,114655200
11/05/2015,5.135,5.21,5.095,5.1575,4.975394,54414400
12/05/2015,5.12,5.25,5.1175,5.2075,5.023629,38880000
13/05/2015,5.245,5.285,5.1875,5.2375,5.05257,30852400
14/05/2015,5.2525,5.35,5.24,5.3225,5.134569,29305200
15/05/2015,5.345,5.37,5.2925,5.325,5.13698,21582400
18/05/2015,5.3125,5.35,5.2875,5.3175,5.129745,32497200
19/05/2015,5.3,5.3175,5.25,5.26,5.097763,25380800
20/05/2015,5.2625,5.325,5.255,5.26,5.097763,19682400
21/05/2015,5.2625,5.285,5.2175,5.2225,5.061419,23969200
22/05/2015,5.235,5.255,5.2025,5.215,5.054152,21259200
26/05/2015,5.19,5.225,5.1425,5.1825,5.022655,25973200
27/05/2015,5.2175,5.485,5.2,5.46,5.291595,43233200
28/05/2015,5.46,5.5525,5.45,5.535,5.36428,32765600
29/05/2015,5.535,5.57,5.525,5.5325,5.361857,33516800
01/06/2015,5.5675,5.65,5.5325,5.595,5.422431,37266000
02/06/2015,5.56,5.59,5.48,5.485,5.315823,22430400
03/06/2015,5.5,5.5425,5.415,5.425,5.257674,25078800
04/06/2015,5.3925,5.54,5.3925,5.5225,5.352168,32371200
